Participant,Practice,Block,Trial,VV,OC,visualSearchTime,ErrorCount
5,TRUE,0,0,VV1,Low,1116,0
5,TRUE,0,1,VV1VV2,Low,3860,0
5,TRUE,0,2,VV2,Low,1033,0
5,TRUE,0,3,VV2,Low,991,0
5,TRUE,0,4,VV1,Low,794,0
5,FALSE,1,0,VV2,Medium,1291,0
5,FALSE,1,1,VV2,Low,838,0
5,FALSE,1,2,VV2,Low,1136,0
5,FALSE,1,3,VV2,Medium,819,0
5,FALSE,1,4,VV2,Low,791,0
5,FALSE,1,5,VV2,Large,918,0
5,FALSE,1,6,VV2,Low,611,0
5,FALSE,1,7,VV2,Large,1939,0
5,FALSE,1,8,VV2,Large,558,0
5,FALSE,1,9,VV2,Medium,563,0
5,FALSE,1,10,VV2,Large,623,0
5,FALSE,1,11,VV2,Low,546,0
5,FALSE,1,12,VV2,Medium,581,0
5,FALSE,1,13,VV2,Large,622,0
5,FALSE,1,14,VV2,Medium,551,0
5,FALSE,2,0,VV1,Low,4112,0
5,FALSE,2,1,VV1,Medium,1028,0
5,FALSE,2,2,VV1,Large,821,0
5,FALSE,2,3,VV1,Medium,714,0
5,FALSE,2,4,VV1,Medium,875,0
5,FALSE,2,5,VV1,Low,777,0
5,FALSE,2,6,VV1,Low,863,1
5,FALSE,2,7,VV1,Medium,670,0
5,FALSE,2,8,VV1,Low,821,0
5,FALSE,2,9,VV1,Large,698,0
5,FALSE,2,10,VV1,Low,703,0
5,FALSE,2,11,VV1,Large,691,0
5,FALSE,2,12,VV1,Large,609,0
5,FALSE,2,13,VV1,Medium,764,0
5,FALSE,2,14,VV1,Large,821,0
5,FALSE,3,0,VV1VV2,Large,9473,0
5,FALSE,3,1,VV1VV2,Low,1984,0
5,FALSE,3,2,VV1VV2,Medium,1843,0
5,FALSE,3,3,VV1VV2,Large,2599,0
5,FALSE,3,4,VV1VV2,Medium,2167,0
5,FALSE,3,5,VV1VV2,Medium,1875,0
5,FALSE,3,6,VV1VV2,Low,1900,0
5,FALSE,3,7,VV1VV2,Low,2302,0
5,FALSE,3,8,VV1VV2,Medium,2279,0
5,FALSE,3,9,VV1VV2,Low,1891,0
5,FALSE,3,10,VV1VV2,Large,4158,0
5,FALSE,3,11,VV1VV2,Low,2001,0
5,FALSE,3,12,VV1VV2,Large,1578,0
5,FALSE,3,13,VV1VV2,Large,3956,0
5,FALSE,3,14,VV1VV2,Medium,2178,0
