Participant,Practice,Block,Trial,VV,OC,visualSearchTime,ErrorCount
2,TRUE,0,0,VV1VV2,Low,7771,0
2,TRUE,0,1,VV2,Low,2386,0
2,TRUE,0,2,VV1VV2,Low,3635,0
2,TRUE,0,3,VV2,Low,2045,0
2,TRUE,0,4,VV1,Low,1306,0
2,FALSE,1,0,VV2,Low,1407,0
2,FALSE,1,1,VV2,Large,768,0
2,FALSE,1,3,VV2,Large,875,0
2,FALSE,1,4,VV2,Large,1367,0
2,FALSE,1,5,VV2,Medium,611,0
2,FALSE,1,6,VV2,Large,946,0
2,FALSE,1,7,VV2,Low,928,0
2,FALSE,1,8,VV2,Medium,864,0
2,FALSE,1,9,VV2,Large,855,0
2,FALSE,1,10,VV2,Medium,633,0
2,FALSE,1,11,VV2,Medium,1518,0
2,FALSE,1,12,VV2,Low,1833,0
2,FALSE,1,13,VV2,Low,808,0
2,FALSE,1,14,VV2,Medium,739,0
2,FALSE,2,0,VV1,Low,681,0
2,FALSE,2,1,VV1,Low,545,0
2,FALSE,2,2,VV1,Medium,642,0
2,FALSE,2,3,VV1,Low,610,0
2,FALSE,2,4,VV1,Large,991,0
2,FALSE,2,5,VV1,Low,585,0
2,FALSE,2,6,VV1,Large,646,0
2,FALSE,2,7,VV1,Large,929,0
2,FALSE,2,8,VV1,Medium,677,0
2,FALSE,2,9,VV1,Large,604,0
2,FALSE,2,10,VV1,Low,798,0
2,FALSE,2,11,VV1,Medium,611,0
2,FALSE,2,12,VV1,Large,794,0
2,FALSE,2,13,VV1,Medium,621,0
2,FALSE,1,2,VV2,Low,528,1
2,FALSE,2,14,VV1,Medium,612,0
2,FALSE,3,0,VV1VV2,Low,3367,0
2,FALSE,3,1,VV1VV2,Medium,1842,0
2,FALSE,3,2,VV1VV2,Low,3739,0
2,FALSE,3,3,VV1VV2,Large,12927,0
2,FALSE,3,4,VV1VV2,Low,3205,0
2,FALSE,3,5,VV1VV2,Large,3881,0
2,FALSE,3,6,VV1VV2,Large,2603,0
2,FALSE,3,7,VV1VV2,Medium,4008,0
2,FALSE,3,8,VV1VV2,Large,2685,0
2,FALSE,3,9,VV1VV2,Low,2542,0
2,FALSE,3,10,VV1VV2,Medium,1977,0
2,FALSE,3,11,VV1VV2,Large,9785,0
2,FALSE,3,12,VV1VV2,Medium,2105,0
2,FALSE,3,13,VV1VV2,Medium,1500,0
2,FALSE,3,14,VV1VV2,Low,2044,0
